measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Niue,Both,Age-standardized,Asthma,Rate,2019,349.16157313292547,460.22975108812443,244.67690062395963
DALYs (Disability-Adjusted Life Years),Antigua and Barbuda,Both,Age-standardized,Asthma,Rate,2019,270.79421852192064,389.57188251966693,184.98863828268873
DALYs (Disability-Adjusted Life Years),Austria,Both,Age-standardized,Asthma,Rate,1990,343.21043067879157,472.68894211186074,246.73020563855127
DALYs (Disability-Adjusted Life Years),Romania,Both,Age-standardized,Asthma,Rate,2019,176.00787909909235,260.5748919262375,114.22273332459582
DALYs (Disability-Adjusted Life Years),Honduras,Both,Age-standardized,Asthma,Rate,1990,647.4830391182469,806.4751258158059,492.2768951734194
DALYs (Disability-Adjusted Life Years),Central African Republic,Both,Age-standardized,Asthma,Rate,2019,985.0073759858408,1640.8987347260772,641.6316536611839
DALYs (Disability-Adjusted Life Years),Egypt,Both,Age-standardized,Asthma,Rate,1990,825.9706230101234,993.525505213169,662.1930140674312
DALYs (Disability-Adjusted Life Years),Qatar,Both,Age-standardized,Asthma,Rate,1990,235.04003829469397,318.71810840053445,173.0967935206753
DALYs (Disability-Adjusted Life Years),Madagascar,Both,Age-standardized,Asthma,Rate,2019,783.8237460321594,1003.5859994115785,593.0618843632144
DALYs (Disability-Adjusted Life Years),Bhutan,Both,Age-standardized,Asthma,Rate,1990,839.547866486058,1398.0874123061935,514.8055332569284
DALYs (Disability-Adjusted Life Years),Azerbaijan,Both,Age-standardized,Asthma,Rate,1990,285.3345093031793,352.0826720261102,231.5614529199008
DALYs (Disability-Adjusted Life Years),Namibia,Both,Age-standardized,Asthma,Rate,1990,900.622889444131,1274.985199159983,659.0081063250468
DALYs (Disability-Adjusted Life Years),Barbados,Both,Age-standardized,Asthma,Rate,1990,378.7301714034329,505.6855232908173,282.91444657295676
DALYs (Disability-Adjusted Life Years),Austria,Both,Age-standardized,Asthma,Rate,2019,212.86245431860004,318.202510313239,138.32552245153408
DALYs (Disability-Adjusted Life Years),Bermuda,Both,Age-standardized,Asthma,Rate,2019,254.93677027292722,380.9827572488658,165.99077274692274
DALYs (Disability-Adjusted Life Years),Botswana,Both,Age-standardized,Asthma,Rate,2019,479.46637569639734,639.2632971337176,335.39420487055753
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Asthma,Rate,2019,216.40587634620078,314.46528544392964,146.36333882291697
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Asthma,Rate,1990,265.9773686789138,364.4359781188853,193.14665259544927
DALYs (Disability-Adjusted Life Years),Palau,Both,Age-standardized,Asthma,Rate,2019,375.76231166308014,462.9355700674661,300.0582086445369
DALYs (Disability-Adjusted Life Years),Serbia,Both,Age-standardized,Asthma,Rate,2019,149.1804067826745,206.2313121557766,107.3456704170854
DALYs (Disability-Adjusted Life Years),Saint Lucia,Both,Age-standardized,Asthma,Rate,2019,391.1382569231529,523.3941729024828,288.63216762189563
DALYs (Disability-Adjusted Life Years),Barbados,Both,Age-standardized,Asthma,Rate,2019,345.00791216201924,482.98363952368527,240.35217872096547
DALYs (Disability-Adjusted Life Years),Palau,Both,Age-standardized,Asthma,Rate,1990,613.0197604572496,763.7760605529054,487.2389864264896
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Asthma,Rate,2019,227.21845208909576,296.4160955794148,175.58657078711664
DALYs (Disability-Adjusted Life Years),Afghanistan,Both,Age-standardized,Asthma,Rate,2019,729.2619008011578,970.0604146076682,523.1466996879201
DALYs (Disability-Adjusted Life Years),Sao Tome and Principe,Both,Age-standardized,Asthma,Rate,1990,1130.8491195434506,1362.8076626124623,908.5001466649327
DALYs (Disability-Adjusted Life Years),Côte d'Ivoire,Both,Age-standardized,Asthma,Rate,1990,792.7831517261537,964.8233144859488,620.7620133125647
DALYs (Disability-Adjusted Life Years),Congo,Both,Age-standardized,Asthma,Rate,2019,457.92453651471635,597.6016281566242,333.9926983443664
DALYs (Disability-Adjusted Life Years),Northern Mariana Islands,Both,Age-standardized,Asthma,Rate,2019,254.48775591654024,335.9719824526876,192.34338510670008
DALYs (Disability-Adjusted Life Years),Luxembourg,Both,Age-standardized,Asthma,Rate,1990,464.2395887597806,649.333142261766,332.45980240692205
DALYs (Disability-Adjusted Life Years),Bahamas,Both,Age-standardized,Asthma,Rate,2019,287.6505462640137,409.1688021786128,202.92582737160498
DALYs (Disability-Adjusted Life Years),Malawi,Both,Age-standardized,Asthma,Rate,2019,410.96211988597844,522.122605138719,317.0067532443044
DALYs (Disability-Adjusted Life Years),Belize,Both,Age-standardized,Asthma,Rate,1990,361.5210647937228,480.10078520865346,274.48092230461924
DALYs (Disability-Adjusted Life Years),El Salvador,Both,Age-standardized,Asthma,Rate,2019,268.2009172820949,376.9200016407422,188.00215622420845
DALYs (Disability-Adjusted Life Years),South Sudan,Both,Age-standardized,Asthma,Rate,2019,465.9535154133109,659.6531111729613,343.36650630052145
DALYs (Disability-Adjusted Life Years),Lesotho,Both,Age-standardized,Asthma,Rate,2019,792.642569431107,1135.1548478739103,527.0297675874418
DALYs (Disability-Adjusted Life Years),Puerto Rico,Both,Age-standardized,Asthma,Rate,1990,557.5125374162963,766.5365060580601,400.3649704629992
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Asthma,Rate,2019,455.615656376349,549.4749020567879,372.91914325994185
DALYs (Disability-Adjusted Life Years),Slovakia,Both,Age-standardized,Asthma,Rate,2019,127.09205312039268,186.66971805656866,83.98747041698881
DALYs (Disability-Adjusted Life Years),Italy,Both,Age-standardized,Asthma,Rate,2019,163.70507883038255,245.59106061151533,103.94096751052345
DALYs (Disability-Adjusted Life Years),Sao Tome and Principe,Both,Age-standardized,Asthma,Rate,2019,723.6677501103529,907.3610279877942,550.1530254752839
DALYs (Disability-Adjusted Life Years),Democratic Republic of the Congo,Both,Age-standardized,Asthma,Rate,2019,605.2932594834158,1036.183658726713,386.94419442908094
DALYs (Disability-Adjusted Life Years),Bangladesh,Both,Age-standardized,Asthma,Rate,2019,243.40100935767947,362.59921619243676,181.94160221332328
DALYs (Disability-Adjusted Life Years),Senegal,Both,Age-standardized,Asthma,Rate,1990,767.9678197217287,940.0618126562954,589.615637799072
DALYs (Disability-Adjusted Life Years),Chad,Both,Age-standardized,Asthma,Rate,2019,563.0173702661525,719.981705860909,436.18464681564257
DALYs (Disability-Adjusted Life Years),Malta,Both,Age-standardized,Asthma,Rate,1990,399.6113958265591,564.164838586821,276.77203966459416
DALYs (Disability-Adjusted Life Years),Gambia,Both,Age-standardized,Asthma,Rate,1990,729.5993663399837,944.7061862706568,547.5770401096767
DALYs (Disability-Adjusted Life Years),Saint Vincent and the Grenadines,Both,Age-standardized,Asthma,Rate,2019,311.5583755547945,427.6860779044845,224.16094164092286
DALYs (Disability-Adjusted Life Years),Albania,Both,Age-standardized,Asthma,Rate,2019,165.87646338430184,222.7805062222582,120.9647375608542
DALYs (Disability-Adjusted Life Years),Guatemala,Both,Age-standardized,Asthma,Rate,2019,184.36305865741872,249.59735206986352,136.18138334182433
DALYs (Disability-Adjusted Life Years),Belgium,Both,Age-standardized,Asthma,Rate,1990,364.9202651994165,501.47481366497624,265.70212626420465
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Asthma,Rate,1990,392.594966327697,550.0625912467336,279.2238701743164
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Both,Age-standardized,Asthma,Rate,1990,380.9197774668688,503.4504347382736,288.2330296397875
DALYs (Disability-Adjusted Life Years),Algeria,Both,Age-standardized,Asthma,Rate,2019,275.5766782975953,354.1916288316357,213.56255444706758
DALYs (Disability-Adjusted Life Years),Sierra Leone,Both,Age-standardized,Asthma,Rate,1990,796.924893864363,986.2168313464332,596.6447794794026
DALYs (Disability-Adjusted Life Years),Honduras,Both,Age-standardized,Asthma,Rate,2019,306.8030157786896,402.594400045029,221.33422928309463
DALYs (Disability-Adjusted Life Years),Armenia,Both,Age-standardized,Asthma,Rate,2019,91.0932140536877,136.0392764607914,59.14631542337754
DALYs (Disability-Adjusted Life Years),Fiji,Both,Age-standardized,Asthma,Rate,2019,979.8654833555977,1226.8241191259774,780.2440134144999
DALYs (Disability-Adjusted Life Years),Oman,Both,Age-standardized,Asthma,Rate,2019,169.94348698588942,252.49164034633725,110.29496754702654
Deaths,Greece,Both,Age-standardized,Asthma,Rate,1990,1.236952095756171,1.3938593250662235,1.1009583035367905
Deaths,Lesotho,Both,Age-standardized,Asthma,Rate,1990,36.08857134459144,58.35842244197975,22.515030311390646
Deaths,Mexico,Both,Age-standardized,Asthma,Rate,1990,7.363293538574273,7.838193763420072,6.360091596731364
Deaths,Bermuda,Both,Age-standardized,Asthma,Rate,1990,3.2980130812257085,4.042643937461435,2.513780873607627
Deaths,Haiti,Both,Age-standardized,Asthma,Rate,1990,26.2895613047497,47.014957701182006,15.46008593738018
Deaths,Lebanon,Both,Age-standardized,Asthma,Rate,1990,15.244761420391294,21.33804348501792,11.146216853143931
Deaths,Jamaica,Both,Age-standardized,Asthma,Rate,1990,3.8616700080982937,4.550312885596228,3.3497507353790703
Deaths,Liberia,Both,Age-standardized,Asthma,Rate,1990,17.84150097879597,22.57195202503694,14.160218059797348
Deaths,Georgia,Both,Age-standardized,Asthma,Rate,1990,6.651360533276444,7.891579006996263,5.4876936814454425
Deaths,Iceland,Both,Age-standardized,Asthma,Rate,1990,2.1975253246485313,2.526070514005319,1.9374935179451505
Deaths,Japan,Both,Age-standardized,Asthma,Rate,1990,4.042675811631346,4.319180807874159,3.5934757088306006
Deaths,Bhutan,Both,Age-standardized,Asthma,Rate,1990,34.269767467334965,64.25754128542366,19.546896217247003
Deaths,Libya,Both,Age-standardized,Asthma,Rate,1990,14.396412221483496,21.018724004208707,9.772662127951438
Deaths,Poland,Both,Age-standardized,Asthma,Rate,1990,7.054810419211637,7.443676213907478,6.542527755086365
Deaths,India,Both,Age-standardized,Asthma,Rate,1990,41.9814744561818,67.49889763835407,23.903598992154752
Deaths,Denmark,Both,Age-standardized,Asthma,Rate,2019,0.6258673876236429,0.734462578447069,0.5153613094136599
Deaths,Ethiopia,Both,Age-standardized,Asthma,Rate,1990,22.711320602845426,31.916064317421085,15.510324966281296
Deaths,Kyrgyzstan,Both,Age-standardized,Asthma,Rate,1990,5.133838839858433,6.29650710317956,3.985764185745049
Deaths,Nicaragua,Both,Age-standardized,Asthma,Rate,1990,7.091592031286616,8.336644272930117,5.941366744553452
Deaths,United States Virgin Islands,Both,Age-standardized,Asthma,Rate,1990,4.444399969145433,5.312677059481377,3.6667657506547453
Deaths,Bangladesh,Both,Age-standardized,Asthma,Rate,1990,32.575072625219825,49.85814557326057,22.275981508943676
Deaths,Uruguay,Both,Age-standardized,Asthma,Rate,1990,5.971655012572003,6.994345198155447,5.138518886848873
Deaths,South Africa,Both,Age-standardized,Asthma,Rate,1990,20.750195574392112,26.032049557115826,17.616424572660474
Deaths,Cook Islands,Both,Age-standardized,Asthma,Rate,1990,15.64838840153268,19.989116881228625,11.640260668961195
Deaths,Kazakhstan,Both,Age-standardized,Asthma,Rate,1990,11.440805765309655,15.072211401278,8.657202250871096
Deaths,Gabon,Both,Age-standardized,Asthma,Rate,2019,9.553938410308119,12.862148830908898,6.8806289936838745
Deaths,Uganda,Both,Age-standardized,Asthma,Rate,2019,11.681558836371767,18.76423108619123,8.029091683470124
Deaths,Mali,Both,Age-standardized,Asthma,Rate,1990,33.91779141464975,42.63334330660385,23.447027645737922
Deaths,Gambia,Both,Age-standardized,Asthma,Rate,2019,16.47932192014096,22.243207143926387,12.057824417668426
Deaths,Switzerland,Both,Age-standardized,Asthma,Rate,2019,0.5411729612894338,0.6385594003224475,0.4341496772023011
Deaths,El Salvador,Both,Age-standardized,Asthma,Rate,2019,2.7464835970310717,3.635997650696786,1.9499787905697854
Deaths,Timor-Leste,Both,Age-standardized,Asthma,Rate,1990,36.8285672988976,53.61403598870571,25.080749336110948
Deaths,Chile,Both,Age-standardized,Asthma,Rate,1990,2.8564038431843852,3.1773059826138215,2.367669967680181
Deaths,Eritrea,Both,Age-standardized,Asthma,Rate,1990,28.31034751803071,41.656232221606764,18.10758124833125
Deaths,Morocco,Both,Age-standardized,Asthma,Rate,1990,21.05326090390319,33.02598131448679,14.890860590139448
Deaths,Costa Rica,Both,Age-standardized,Asthma,Rate,2019,0.9857000431081685,1.2980390741819714,0.7241828814705781
Deaths,Djibouti,Both,Age-standardized,Asthma,Rate,1990,17.08737630308325,23.425868361096256,11.050717039844917
Deaths,Viet Nam,Both,Age-standardized,Asthma,Rate,1990,20.5585000059141,30.198225212773668,7.0889377116633705
Deaths,Ireland,Both,Age-standardized,Asthma,Rate,1990,3.461294768120208,3.948180845542472,3.0197182535416274
Deaths,Dominica,Both,Age-standardized,Asthma,Rate,2019,5.054809569949781,6.490707328362176,3.80240491586611
Deaths,Zambia,Both,Age-standardized,Asthma,Rate,2019,10.865780992188796,14.179561606695843,8.121182645686503
Deaths,Ghana,Both,Age-standardized,Asthma,Rate,2019,13.972084462965693,17.769084275620905,9.323974185381783
Deaths,China,Both,Age-standardized,Asthma,Rate,1990,6.365502002195825,9.452613650437842,4.690762929993999
Deaths,Singapore,Both,Age-standardized,Asthma,Rate,1990,5.624729216997803,6.211326387785305,4.594851329244436
Deaths,Romania,Both,Age-standardized,Asthma,Rate,1990,4.407037421284808,5.552708289342667,2.91042570142338
Deaths,Eswatini,Both,Age-standardized,Asthma,Rate,1990,34.57549737844725,48.53246487296517,24.596180462723968
Deaths,Oman,Both,Age-standardized,Asthma,Rate,1990,1.8657477112709249,3.0865330553327057,1.2400811457241878
Deaths,Guam,Both,Age-standardized,Asthma,Rate,1990,9.865369345311429,11.885162639276702,7.786087402269375
Deaths,Suriname,Both,Age-standardized,Asthma,Rate,1990,4.6839388791912855,5.418234261558002,4.016195657758551
Deaths,Italy,Both,Age-standardized,Asthma,Rate,1990,2.2631481116236047,2.4593247687384445,2.0640290417783014
Deaths,Serbia,Both,Age-standardized,Asthma,Rate,1990,6.040567726949408,7.790154769631389,4.6648553673559405
Deaths,Saint Kitts and Nevis,Both,Age-standardized,Asthma,Rate,2019,1.935027784750256,2.4313481092102394,1.5126929006471923
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,Asthma,Rate,1990,3.268654842924719,3.768024804797203,2.8075459639827067
Deaths,Guatemala,Both,Age-standardized,Asthma,Rate,2019,2.971066034123932,3.947572392430717,2.266725441711407
Deaths,Fiji,Both,Age-standardized,Asthma,Rate,1990,95.03236251606393,119.09686594099972,76.37956147543694
Deaths,Taiwan (Province of China),Both,Age-standardized,Asthma,Rate,1990,14.500062214735122,15.839157577211667,12.570738324152787
Deaths,Myanmar,Both,Age-standardized,Asthma,Rate,2019,27.804547466361278,34.39842836889105,19.505735595431496
Deaths,Mauritania,Both,Age-standardized,Asthma,Rate,1990,24.750203084680045,31.446682564769432,17.037871126537947
Deaths,Greenland,Both,Age-standardized,Asthma,Rate,1990,6.64877469212024,8.751098012006654,5.3199033330362
Deaths,Philippines,Both,Age-standardized,Asthma,Rate,2019,16.360074856299445,21.177411359198572,13.538233687685556
Deaths,Iraq,Both,Age-standardized,Asthma,Rate,2019,5.706166383963098,7.316584798929698,4.498547918851691
Deaths,Namibia,Both,Age-standardized,Asthma,Rate,1990,35.192383526037894,51.784882606047134,24.909489888608345
Deaths,Mongolia,Both,Age-standardized,Asthma,Rate,1990,16.779263000407948,22.23604203269764,12.424209506876723
Deaths,Saint Vincent and the Grenadines,Both,Age-standardized,Asthma,Rate,1990,4.7051536320345235,5.4826846213261495,4.0230460047318095
Deaths,Republic of Korea,Both,Age-standardized,Asthma,Rate,1990,35.60443877868151,42.09316996141088,20.8105630124207
Deaths,San Marino,Both,Age-standardized,Asthma,Rate,2019,0.5750186477098452,0.8548355686748398,0.368192402835204
Deaths,Finland,Both,Age-standardized,Asthma,Rate,2019,0.7781768614617134,0.9361495833118757,0.6178067180107811
Deaths,Saint Lucia,Both,Age-standardized,Asthma,Rate,1990,8.790898882091563,10.056218648693424,7.64882118173565
Deaths,Czechia,Both,Age-standardized,Asthma,Rate,2019,0.5856490776373646,0.7338787783934658,0.44927693583907014
Deaths,Iran (Islamic Republic of),Both,Age-standardized,Asthma,Rate,2019,5.609569841054525,6.247352205328917,4.766184737341568
Deaths,Israel,Both,Age-standardized,Asthma,Rate,1990,4.433956180258398,5.12091338702606,3.8238115839197273
Deaths,American Samoa,Both,Age-standardized,Asthma,Rate,2019,11.004905579351739,13.947874719586363,8.64243770741453
Deaths,Democratic People's Republic of Korea,Both,Age-standardized,Asthma,Rate,1990,10.244572823500699,15.414468156278781,6.581702648136861
Deaths,United Kingdom,Both,Age-standardized,Asthma,Rate,2019,1.2220527830979735,1.3638519141142076,1.0635950988290157
Deaths,Dominican Republic,Both,Age-standardized,Asthma,Rate,2019,5.168596947504696,6.835605718361942,3.752641130412809
Deaths,United States of America,Both,Age-standardized,Asthma,Rate,1990,1.6572566375170341,1.897195904920147,1.5361046085064887
Deaths,Turkmenistan,Both,Age-standardized,Asthma,Rate,1990,10.637111220062456,13.727695610179131,7.561068771893421
Deaths,Guinea,Both,Age-standardized,Asthma,Rate,2019,19.904848987372553,26.128844450096093,14.758326092763758
Deaths,South Sudan,Both,Age-standardized,Asthma,Rate,1990,20.41439970852881,28.53116221582351,12.526323531764026
Deaths,Afghanistan,Both,Age-standardized,Asthma,Rate,2019,25.782908881193816,36.63673704960726,15.926486070214954
Deaths,Pakistan,Both,Age-standardized,Asthma,Rate,1990,28.0901856011041,47.46262690951952,18.23878938429158
Deaths,Panama,Both,Age-standardized,Asthma,Rate,1990,3.5746042704141785,4.113138588662354,3.0484970839776464
Deaths,Germany,Both,Age-standardized,Asthma,Rate,2019,0.6446054237013654,0.7547388264630495,0.5528801283118965
Deaths,Comoros,Both,Age-standardized,Asthma,Rate,2019,10.63896980574521,15.190760634222004,7.768728153308253
Deaths,Tokelau,Both,Age-standardized,Asthma,Rate,2019,14.228549689301376,18.750228742973032,10.292074614822534
Deaths,Honduras,Both,Age-standardized,Asthma,Rate,2019,6.187718500437401,8.71475299609444,4.003906965082325
Deaths,Marshall Islands,Both,Age-standardized,Asthma,Rate,1990,47.21742842680639,71.34549613632241,34.45054821722689
Deaths,Hungary,Both,Age-standardized,Asthma,Rate,2019,0.5804485657653928,0.7196250485981815,0.4563929121820617
Deaths,Grenada,Both,Age-standardized,Asthma,Rate,2019,2.0342579110167036,2.400618702607531,1.652518788984421
Deaths,Argentina,Both,Age-standardized,Asthma,Rate,2019,0.9227826433661902,1.0692639942579252,0.770425774551916
Deaths,Nigeria,Both,Age-standardized,Asthma,Rate,1990,18.60330657017228,24.211133310764513,13.945690660588495
Deaths,Botswana,Both,Age-standardized,Asthma,Rate,2019,16.000353324964276,22.75661254634288,9.948957712944472
Deaths,Palestine,Both,Age-standardized,Asthma,Rate,1990,13.093254446241216,17.51998571810415,9.351654632822493
Deaths,Bangladesh,Both,Age-standardized,Asthma,Rate,2019,8.832205155580677,14.546384817245965,6.163316250495004
Deaths,Monaco,Both,Age-standardized,Asthma,Rate,1990,0.8303918984419436,1.0618811768073493,0.6290775425189116
Deaths,Canada,Both,Age-standardized,Asthma,Rate,1990,1.634399565449779,1.799619761667711,1.4676734107579865
Deaths,Tajikistan,Both,Age-standardized,Asthma,Rate,1990,14.149291950435003,20.87105183113659,9.376342086783268
Deaths,Netherlands,Both,Age-standardized,Asthma,Rate,1990,1.2132936400649008,1.3403103235086227,1.089839830819863
Deaths,Sudan,Both,Age-standardized,Asthma,Rate,2019,14.72410901543449,23.46268752224912,8.969254379768481
Deaths,Sao Tome and Principe,Both,Age-standardized,Asthma,Rate,1990,41.057513171617444,49.68052232892056,32.34540238672269
Deaths,Liberia,Both,Age-standardized,Asthma,Rate,2019,10.075713241684204,14.078353159221974,7.139917981126427
Deaths,Armenia,Both,Age-standardized,Asthma,Rate,2019,0.44725172130876667,0.5696798958883953,0.34617333700531705
Deaths,Niger,Both,Age-standardized,Asthma,Rate,1990,34.07608045110811,46.7271127414718,24.10290074557609
Deaths,France,Both,Age-standardized,Asthma,Rate,2019,0.734772270932402,0.9507780306646004,0.6043750191136728
Deaths,Guyana,Both,Age-standardized,Asthma,Rate,2019,4.546533697607643,5.942848385129246,3.433195602545795
Deaths,Mexico,Both,Age-standardized,Asthma,Rate,2019,1.5210865778440443,1.7709878425804297,1.2279290666809686
Deaths,Sri Lanka,Both,Age-standardized,Asthma,Rate,2019,40.30980503590647,51.840481186223585,27.899380868417122
Deaths,Azerbaijan,Both,Age-standardized,Asthma,Rate,2019,5.33548626538849,8.503777888612065,3.5672661270873527
Deaths,Syrian Arab Republic,Both,Age-standardized,Asthma,Rate,1990,22.364016770604255,29.656080820994394,16.656269237781377
Deaths,Jordan,Both,Age-standardized,Asthma,Rate,2019,2.609869122685559,3.2813357864887376,2.0922313123734524
Deaths,Slovakia,Both,Age-standardized,Asthma,Rate,1990,1.7818841345446983,2.398620114657709,1.4970352829492009
Deaths,Kenya,Both,Age-standardized,Asthma,Rate,1990,13.301866864003726,23.698902080937714,8.542029427759754
Deaths,Qatar,Both,Age-standardized,Asthma,Rate,1990,4.663691882701271,8.69870341885561,3.0595664499391426
Deaths,Brazil,Both,Age-standardized,Asthma,Rate,1990,3.476837376709054,3.827067848616349,3.037381368946813
Deaths,Haiti,Both,Age-standardized,Asthma,Rate,2019,13.075964910914758,22.306532009330482,7.572968502866577
Deaths,Nepal,Both,Age-standardized,Asthma,Rate,1990,63.25820469433064,101.19163652470239,35.89164973992813
Deaths,Indonesia,Both,Age-standardized,Asthma,Rate,1990,26.577538307786245,35.81212762266008,21.156647193138177
Deaths,Timor-Leste,Both,Age-standardized,Asthma,Rate,2019,19.751913279117357,27.94939675026124,13.466951914471553
Deaths,Bermuda,Both,Age-standardized,Asthma,Rate,2019,0.8762950951532255,1.0959069493460958,0.6986990477775464
Deaths,Lesotho,Both,Age-standardized,Asthma,Rate,2019,29.845189114872625,46.075839583882754,19.61261023055912
Deaths,Ukraine,Both,Age-standardized,Asthma,Rate,2019,0.4071827580604226,0.7418463421312805,0.3098678229570798
Deaths,Cook Islands,Both,Age-standardized,Asthma,Rate,2019,6.022015147931005,8.354820343792301,4.105968245452897
Deaths,Antigua and Barbuda,Both,Age-standardized,Asthma,Rate,1990,2.904673099416067,3.3665798542020124,2.517281849580281
Deaths,Burundi,Both,Age-standardized,Asthma,Rate,2019,16.283098593360727,28.777970610169486,10.439839582627148
Deaths,Luxembourg,Both,Age-standardized,Asthma,Rate,1990,4.3465691675246125,4.870943179325766,3.842979118411486
Deaths,Guinea-Bissau,Both,Age-standardized,Asthma,Rate,2019,22.438000608614637,28.95260612679513,16.739576722805722
Deaths,Chile,Both,Age-standardized,Asthma,Rate,2019,1.1463191042575598,1.4067710683615628,0.8945975145025377
Deaths,Benin,Both,Age-standardized,Asthma,Rate,1990,29.092736683583485,37.15684181091412,22.145446452437433
Deaths,Bhutan,Both,Age-standardized,Asthma,Rate,2019,15.232961380069426,22.805686780326226,10.733306407944118
Deaths,Namibia,Both,Age-standardized,Asthma,Rate,2019,15.941300083692088,21.260447865633346,11.857032189737257
Deaths,Tuvalu,Both,Age-standardized,Asthma,Rate,2019,21.366834341921376,28.490404456831392,15.232055280095587
Deaths,Malta,Both,Age-standardized,Asthma,Rate,1990,2.323900175739671,2.6675713717910816,2.036765487714854
Deaths,Kuwait,Both,Age-standardized,Asthma,Rate,2019,1.4570326251634447,1.854120216142605,1.135294978758168
Deaths,Georgia,Both,Age-standardized,Asthma,Rate,2019,1.937888016890816,2.5385058037170865,1.5419908822010544
Deaths,Uruguay,Both,Age-standardized,Asthma,Rate,2019,2.2021864622339833,2.554642957877914,1.8295413933528994
Deaths,China,Both,Age-standardized,Asthma,Rate,2019,1.5053046935596763,1.8648156878263786,1.2256926852340093
Deaths,United States Virgin Islands,Both,Age-standardized,Asthma,Rate,2019,2.5390444161941583,3.106461232375459,1.9885384032878926
Deaths,Malawi,Both,Age-standardized,Asthma,Rate,1990,17.327335414635584,22.624419398127817,12.307999333884345
Deaths,Slovenia,Both,Age-standardized,Asthma,Rate,1990,2.180689694181002,2.8177855539096885,1.7139886434668734
Deaths,Australia,Both,Age-standardized,Asthma,Rate,1990,4.315222518531506,4.653637824246979,3.830166124226719
Deaths,Central African Republic,Both,Age-standardized,Asthma,Rate,1990,43.94118803590778,77.66978911981738,26.098149793837713
Deaths,New Zealand,Both,Age-standardized,Asthma,Rate,1990,4.404882446562807,4.825607316007561,3.9789847765554827
Deaths,South Africa,Both,Age-standardized,Asthma,Rate,2019,11.60599714680354,13.163720836138308,10.373220186746464
Deaths,Zimbabwe,Both,Age-standardized,Asthma,Rate,1990,24.967427120587917,30.856767970753015,20.57005422810204
Deaths,Belgium,Both,Age-standardized,Asthma,Rate,1990,3.1234996127956935,3.449085653009682,2.819755266813533
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,Asthma,Rate,1990,8.485904095362924,11.412685622159637,5.653191761908745
Deaths,Angola,Both,Age-standardized,Asthma,Rate,1990,32.12133115419972,54.91059437391268,20.812891188760464
Deaths,Djibouti,Both,Age-standardized,Asthma,Rate,2019,8.88869835544798,12.309641654342308,4.7570731019632975
Deaths,Senegal,Both,Age-standardized,Asthma,Rate,1990,27.493155563697677,35.0020565624148,20.284310896649778
Deaths,Norway,Both,Age-standardized,Asthma,Rate,1990,4.9465969802318925,5.6283667866886695,4.561427751822669
Deaths,Mali,Both,Age-standardized,Asthma,Rate,2019,20.150542688531065,26.85665998524559,14.014499649971627
Deaths,Nepal,Both,Age-standardized,Asthma,Rate,2019,36.399161792858415,52.151492215181406,22.44520823863499
Deaths,Ireland,Both,Age-standardized,Asthma,Rate,2019,0.704699892876213,0.8607165316530192,0.5842661120381804
Deaths,Kiribati,Both,Age-standardized,Asthma,Rate,1990,105.34116506085742,140.79462615139516,84.794400991332
Deaths,Montenegro,Both,Age-standardized,Asthma,Rate,2019,0.3360044280390174,0.43693751067618963,0.2495398530572501
Deaths,Madagascar,Both,Age-standardized,Asthma,Rate,1990,27.99196552997711,37.19549661053071,21.821495342501866
Deaths,Japan,Both,Age-standardized,Asthma,Rate,2019,0.4640703124498964,0.620913649234023,0.35995182312052365
Deaths,Jamaica,Both,Age-standardized,Asthma,Rate,2019,2.540024493549049,3.317389076668489,1.9226516730972185
Deaths,Niger,Both,Age-standardized,Asthma,Rate,2019,19.47042115055521,28.300601608728584,13.415341801625209
Deaths,Iceland,Both,Age-standardized,Asthma,Rate,2019,0.5005034468792607,0.5903477142616681,0.3925691934955276
Deaths,Romania,Both,Age-standardized,Asthma,Rate,2019,0.6497480890233946,0.8399283304711397,0.5083317743521594
Deaths,Samoa,Both,Age-standardized,Asthma,Rate,1990,39.02103381069518,57.6508925992963,28.377789897294587
Deaths,Sierra Leone,Both,Age-standardized,Asthma,Rate,1990,27.314071706449297,35.22550575571954,19.579451727043566
Deaths,Kyrgyzstan,Both,Age-standardized,Asthma,Rate,2019,1.3235686914088,1.8548477050699388,1.0766098616458477
Deaths,Ethiopia,Both,Age-standardized,Asthma,Rate,2019,8.537275948847602,14.609426650898994,6.213765995818114
Deaths,Seychelles,Both,Age-standardized,Asthma,Rate,1990,12.995770641748338,16.77329325870875,10.202822420442022
Deaths,North Macedonia,Both,Age-standardized,Asthma,Rate,2019,2.16246161903146,2.7528750955341392,1.6432421408340532
Deaths,Uzbekistan,Both,Age-standardized,Asthma,Rate,1990,12.568419336334957,16.04018335175459,8.26580799989375
Deaths,Viet Nam,Both,Age-standardized,Asthma,Rate,2019,8.67581396422584,11.869888682852858,3.545864423990124
