measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Turkey,Both,Age-standardized,Asthma,Rate,2019,253.48739971384745,347.0939965157275,182.60493665246457
DALYs (Disability-Adjusted Life Years),Sudan,Both,Age-standardized,Asthma,Rate,1990,970.1873643803098,1386.0344116547724,657.0468099159401
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Asthma,Rate,2019,250.00122977262063,370.7037467120475,167.01667642839297
DALYs (Disability-Adjusted Life Years),Northern Mariana Islands,Both,Age-standardized,Asthma,Rate,1990,416.94633906987536,514.1327801327689,336.22837398277517
DALYs (Disability-Adjusted Life Years),South Sudan,Both,Age-standardized,Asthma,Rate,1990,770.5630068247204,994.5158273852479,547.0239646317881
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Asthma,Rate,1990,418.5558915548273,503.5843253412743,351.14757478566435
DALYs (Disability-Adjusted Life Years),Poland,Both,Age-standardized,Asthma,Rate,1990,516.3757852813906,697.2685010395645,381.61309057486187
DALYs (Disability-Adjusted Life Years),Vanuatu,Both,Age-standardized,Asthma,Rate,1990,1147.5571430243665,1712.616532493164,778.2913922235257
DALYs (Disability-Adjusted Life Years),Uzbekistan,Both,Age-standardized,Asthma,Rate,1990,446.9409056091983,553.2002249746556,347.315188601398
DALYs (Disability-Adjusted Life Years),France,Both,Age-standardized,Asthma,Rate,2019,272.36146635491866,401.39062831355136,180.1455710062968
DALYs (Disability-Adjusted Life Years),Czechia,Both,Age-standardized,Asthma,Rate,2019,133.93654480594228,197.1061403440229,88.49369034536677
DALYs (Disability-Adjusted Life Years),Peru,Both,Age-standardized,Asthma,Rate,2019,189.79839231564566,295.30900232507776,119.90294476481554
DALYs (Disability-Adjusted Life Years),Bahamas,Both,Age-standardized,Asthma,Rate,1990,328.17625414961753,437.9396677243205,249.12732626295522
DALYs (Disability-Adjusted Life Years),United States Virgin Islands,Both,Age-standardized,Asthma,Rate,2019,277.1247157838643,392.6619175008924,194.38764816977454
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Asthma,Rate,1990,242.42087018368838,337.9017756559508,174.16918245783364
DALYs (Disability-Adjusted Life Years),Jordan,Both,Age-standardized,Asthma,Rate,2019,212.33419921511475,293.60545841175326,151.09473240082454
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Asthma,Rate,1990,413.6494750654965,524.5067227230687,317.07494914723344
DALYs (Disability-Adjusted Life Years),Pakistan,Both,Age-standardized,Asthma,Rate,2019,414.77751393089585,544.5411173648164,330.09156226482065
DALYs (Disability-Adjusted Life Years),Zambia,Both,Age-standardized,Asthma,Rate,1990,643.402506071038,777.0022665958461,504.95637536879514
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,Asthma,Rate,1990,696.571595758122,827.6167394433808,531.052494794349
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Asthma,Rate,2019,247.95237474157022,366.1357547758153,163.4978889994838
DALYs (Disability-Adjusted Life Years),Australia,Both,Age-standardized,Asthma,Rate,2019,373.8338949817617,549.8363894983015,245.5206493235215
DALYs (Disability-Adjusted Life Years),Hungary,Both,Age-standardized,Asthma,Rate,2019,143.6355074691363,212.3269074801248,95.94742847010365
DALYs (Disability-Adjusted Life Years),United Republic of Tanzania,Both,Age-standardized,Asthma,Rate,2019,455.6630937422322,587.014901859167,347.11084072446914
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Asthma,Rate,2019,197.745305406911,282.60688553074624,135.98128345753275
DALYs (Disability-Adjusted Life Years),Spain,Both,Age-standardized,Asthma,Rate,2019,189.84876772998012,277.08395321148964,126.02594771361468
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Asthma,Rate,2019,554.1131492722025,778.2971991685438,397.49936637447234
