"treatment","sucra"
"aducanumab",0.850882083333333
"bapineuzumab",0.27548
"biib092",0.658849166666667
"crenezumab",0.252735416666667
"donanemab",0.690294583333333
"gantenerumab",0.610451666666667
"gsk933776",0.0863875
"lecanemab",0.713130416666667
"placebo",0.35083875
"ponezumab",0.9495425
"semorinemab",0.44981375
"solanezumab",0.275994166666667
"tilavonemab",0.3356
