"pon500ug","-2.64 (-8.64, 3.15)","3.63 (-4.62, 11.7)","-1.39 (-7.45, 4.5)","-2.39 (-8.37, 3.4)","1.22 (-6.35, 8.69)","-3.65 (-10.23, 2.78)","-1.84 (-8.49, 4.53)","-1.51 (-8.21, 4.75)","-3.63 (-10.01, 2.46)","-2.43 (-8.73, 3.57)","-2.03 (-8.31, 3.99)","-3.14 (-9.18, 2.73)","-1.56 (-8.08, 4.69)","-1.91 (-8.09, 4.07)","-1.77 (-7.75, 3.92)","-0.29 (-6.32, 5.43)","6.75 (-2.69, 15.83)","0.23 (-5.56, 6.06)","-0.2 (-8.43, 7.54)","pon500ug","-3.35 (-12.91, 5.71)","-1.07 (-9.01, 6.98)","0.34 (-6.25, 6.57)","-2.31 (-8.65, 3.79)","-0.77 (-7.22, 5.48)","-0.93 (-7.57, 5.38)","-2.67 (-8.74, 3.11)","-10.88 (-17.46, -4.47)","-9.2 (-16.16, -2.6)","-10.65 (-17.76, -4.24)"
"pon7500ug","0.63 (-6.55, 7.82)","7.1 (-1.97, 16)","1.93 (-5.37, 9.18)","0.91 (-6.29, 8.14)","4.62 (-3.85, 12.93)","-0.36 (-8.03, 7.46)","1.47 (-6.38, 9.12)","1.74 (-5.8, 9.44)","-0.35 (-7.7, 7.22)","0.77 (-6.68, 8.41)","1.23 (-6.13, 8.72)","0.13 (-7.05, 7.43)","1.72 (-5.84, 9.43)","1.36 (-6, 8.89)","1.49 (-5.66, 8.69)","2.91 (-6.25, 12.3)","9.99 (-0.06, 20.17)","3.54 (-5.67, 13.16)","3.06 (-5.78, 11.94)","3.35 (-5.71, 12.91)","pon7500ug","2.2 (-6.52, 11.15)","3.63 (-3.81, 11.34)","0.94 (-6.45, 8.7)","2.54 (-5.04, 10.33)","2.38 (-5.38, 10.24)","0.61 (-6.59, 7.91)","-7.6 (-15.23, 0.38)","-5.93 (-13.63, 2.03)","-7.45 (-15.25, 0.82)"
"pon8500ug","-1.66 (-6.82, 3.47)","4.71 (-2.8, 12.38)","-0.4 (-5.62, 4.78)","-1.38 (-6.56, 3.75)","2.22 (-4.54, 9.18)","-2.61 (-8.47, 3.16)","-0.82 (-6.67, 5.05)","-0.52 (-6.17, 5.04)","-2.66 (-8.15, 2.92)","-1.46 (-6.94, 3.98)","-1.02 (-6.55, 4.38)","-2.14 (-7.35, 3.03)","-0.54 (-6.29, 5.12)","-0.89 (-6.31, 4.37)","-0.81 (-5.91, 4.29)","0.67 (-7.1, 8.59)","7.84 (-1.21, 16.36)","1.22 (-6.7, 9.35)","0.77 (-4.61, 6.13)","1.07 (-6.98, 9.01)","-2.2 (-11.15, 6.52)","pon8500ug","1.32 (-4.33, 7.04)","-1.36 (-6.86, 4.17)","0.21 (-5.34, 5.86)","0.14 (-5.78, 5.97)","-1.71 (-6.86, 3.51)","-9.85 (-15.79, -3.88)","-8.19 (-14.36, -2.08)","-9.58 (-16.02, -3.63)"
"sem1500mg","-3 (-5.69, -0.36)","3.36 (-2.62, 9.53)","-1.73 (-4.53, 1.04)","-2.71 (-5.4, -0.07)","0.91 (-4.5, 6.18)","-3.99 (-7.73, -0.14)","-2.22 (-6.04, 1.76)","-1.85 (-5.39, 1.67)","-3.98 (-7.24, -0.75)","-2.81 (-5.98, 0.4)","-2.38 (-5.57, 0.85)","-3.5 (-6.26, -0.74)","-1.87 (-5.43, 1.68)","-2.25 (-5.24, 0.77)","-2.15 (-4.71, 0.4)","-0.64 (-6.99, 5.46)","6.46 (-0.94, 13.53)","-0.12 (-6.68, 6.5)","-0.49 (-6.61, 5.11)","-0.34 (-6.57, 6.25)","-3.63 (-11.34, 3.81)","-1.32 (-7.04, 4.33)","sem1500mg","-2.66 (-5.08, -0.24)","-1.09 (-3.88, 1.66)","-1.22 (-5.13, 2.77)","-3.01 (-5.77, -0.3)","-11.2 (-15.17, -7.17)","-9.51 (-13.67, -5.44)","-10.96 (-15.16, -6.84)"
"sem4500mg","-0.33 (-2.64, 1.95)","6.02 (0.08, 12.17)","0.94 (-1.52, 3.41)","-0.05 (-2.35, 2.21)","3.59 (-1.65, 8.74)","-1.29 (-4.9, 2.32)","0.45 (-3.08, 4.19)","0.8 (-2.47, 4.07)","-1.3 (-4.31, 1.65)","-0.14 (-3.03, 2.83)","0.28 (-2.63, 3.25)","-0.83 (-3.22, 1.6)","0.76 (-2.51, 4.1)","0.4 (-2.25, 3.08)","0.52 (-1.63, 2.7)","2.01 (-4.18, 8.07)","9.17 (1.86, 16.02)","2.55 (-3.85, 8.88)","2.17 (-3.74, 7.69)","2.31 (-3.79, 8.65)","-0.94 (-8.7, 6.45)","1.36 (-4.17, 6.86)","2.66 (0.24, 5.08)","sem4500mg","1.59 (-0.84, 3.96)","1.39 (-2.17, 5.43)","-0.36 (-2.71, 2.02)","-8.55 (-12.27, -4.79)","-6.84 (-10.87, -2.98)","-8.3 (-12.18, -4.43)"
"sem8100mg","-1.92 (-4.54, 0.65)","4.45 (-1.5, 10.67)","-0.63 (-3.42, 2.11)","-1.6 (-4.27, 0.9)","2 (-3.43, 7.35)","-2.85 (-6.67, 0.91)","-1.13 (-4.84, 2.74)","-0.76 (-4.26, 2.7)","-2.88 (-6.17, 0.35)","-1.72 (-4.84, 1.47)","-1.29 (-4.45, 1.91)","-2.41 (-5.11, 0.31)","-0.8 (-4.34, 2.79)","-1.17 (-4.12, 1.77)","-1.07 (-3.55, 1.41)","0.49 (-5.85, 6.62)","7.51 (0.22, 14.6)","1 (-5.53, 7.43)","0.55 (-5.35, 6.23)","0.77 (-5.48, 7.22)","-2.54 (-10.33, 5.04)","-0.21 (-5.86, 5.34)","1.09 (-1.66, 3.88)","-1.59 (-3.96, 0.84)","sem8100mg","-0.18 (-3.9, 3.82)","-1.93 (-4.61, 0.72)","-10.13 (-14.01, -6.16)","-8.42 (-12.55, -4.35)","-9.88 (-13.98, -5.85)"
"sol100mg","-1.73 (-5.06, 1.21)","4.57 (-1.75, 11.06)","-0.46 (-3.97, 2.64)","-1.45 (-4.78, 1.46)","2.15 (-3.43, 7.66)","-2.74 (-6.86, 1.36)","-0.96 (-5.35, 3.23)","-0.63 (-4.67, 3.19)","-2.72 (-6.63, 0.75)","-1.54 (-5.24, 1.92)","-1.15 (-4.73, 2.36)","-2.23 (-5.67, 0.8)","-0.66 (-4.55, 3.17)","-1.01 (-4.54, 2.28)","-0.87 (-4.13, 1.98)","0.59 (-5.76, 6.93)","7.66 (0.14, 14.94)","1.17 (-5.63, 7.87)","0.73 (-5.3, 6.6)","0.93 (-5.38, 7.57)","-2.38 (-10.24, 5.38)","-0.14 (-5.97, 5.78)","1.22 (-2.77, 5.13)","-1.39 (-5.43, 2.17)","0.18 (-3.82, 3.9)","sol100mg","-1.78 (-5.17, 1.23)","-9.97 (-14.36, -5.73)","-8.33 (-12.67, -4.04)","-9.72 (-14.38, -5.35)"
"sol400mg","0.03 (-1.25, 1.24)","6.38 (0.8, 12.13)","1.29 (-0.23, 2.82)","0.32 (-0.94, 1.5)","3.94 (-0.93, 8.68)","-0.96 (-3.89, 2.07)","0.82 (-2.16, 3.9)","1.19 (-1.45, 3.78)","-0.94 (-3.2, 1.33)","0.23 (-1.95, 2.44)","0.65 (-1.57, 2.88)","-0.47 (-1.94, 1.01)","1.12 (-1.52, 3.92)","0.77 (-1.1, 2.63)","0.87 (-0.09, 1.86)","2.38 (-3.4, 8.05)","9.44 (2.51, 16.24)","2.93 (-3.11, 9.03)","2.49 (-2.9, 7.69)","2.67 (-3.11, 8.74)","-0.61 (-7.91, 6.59)","1.71 (-3.51, 6.86)","3.01 (0.3, 5.77)","0.36 (-2.02, 2.71)","1.93 (-0.72, 4.61)","1.78 (-1.23, 5.17)","sol400mg","-8.16 (-11.34, -4.95)","-6.49 (-9.95, -3.04)","-7.93 (-11.5, -4.57)"
"til1000mg","8.22 (5.01, 11.29)","14.51 (8.44, 21)","9.47 (6.16, 12.8)","8.49 (5.33, 11.58)","12.12 (6.44, 17.61)","7.19 (3.16, 11.43)","8.97 (4.79, 13.24)","9.35 (5.39, 13.22)","7.24 (3.54, 10.9)","8.4 (4.78, 12.05)","8.81 (5.18, 12.44)","7.72 (4.46, 10.95)","9.31 (5.3, 13.32)","8.95 (5.5, 12.36)","9.07 (5.99, 12.1)","10.51 (4.14, 17.14)","17.62 (10.1, 25.3)","11.1 (4.3, 17.83)","10.73 (4.49, 16.66)","10.88 (4.47, 17.46)","7.6 (-0.38, 15.23)","9.85 (3.88, 15.79)","11.2 (7.17, 15.17)","8.55 (4.79, 12.27)","10.13 (6.16, 14.01)","9.97 (5.73, 14.36)","8.16 (4.95, 11.34)","til1000mg","1.67 (-2.03, 5.35)","0.18 (-3.27, 3.87)"
"til2000mg","6.52 (3.19, 9.9)","12.98 (6.38, 19.36)","7.78 (4.34, 11.35)","6.82 (3.47, 10.17)","10.46 (4.74, 16.03)","5.52 (1.29, 9.95)","7.33 (2.98, 11.69)","7.68 (3.59, 11.74)","5.56 (1.72, 9.41)","6.7 (2.99, 10.63)","7.15 (3.39, 11.03)","6.03 (2.55, 9.54)","7.62 (3.56, 11.87)","7.23 (3.65, 10.98)","7.37 (4.1, 10.7)","8.84 (2.45, 15.43)","15.97 (8.34, 23.68)","9.48 (2.73, 16.31)","8.93 (2.75, 15.07)","9.2 (2.6, 16.16)","5.93 (-2.03, 13.63)","8.19 (2.08, 14.36)","9.51 (5.44, 13.67)","6.84 (2.98, 10.87)","8.42 (4.35, 12.55)","8.33 (4.04, 12.67)","6.49 (3.04, 9.95)","-1.67 (-5.35, 2.03)","til2000mg","-1.44 (-5.22, 2.36)"
"til300mg","7.96 (4.61, 11.42)","14.32 (7.85, 21.11)","9.23 (5.73, 12.96)","8.23 (4.92, 11.75)","11.9 (6.11, 17.56)","6.99 (2.68, 11.26)","8.77 (4.49, 13.02)","9.15 (5.03, 13.1)","7.01 (3.09, 10.8)","8.16 (4.3, 12.13)","8.58 (4.78, 12.63)","7.47 (4.04, 11.06)","9.05 (4.99, 13.64)","8.68 (5.14, 12.54)","8.81 (5.54, 12.2)","10.31 (3.78, 17.16)","17.4 (9.77, 25.14)","10.83 (4.09, 18.23)","10.46 (4.14, 16.44)","10.65 (4.24, 17.76)","7.45 (-0.82, 15.25)","9.58 (3.63, 16.02)","10.96 (6.84, 15.16)","8.3 (4.43, 12.18)","9.88 (5.85, 13.98)","9.72 (5.35, 14.38)","7.93 (4.57, 11.5)","-0.18 (-3.87, 3.27)","1.44 (-2.36, 5.22)","til300mg"
