"gan105mg","-0.2 (-2.36, 1.87)","6.16 (0.35, 12.12)","1.07 (-1.27, 3.4)","0.08 (-2.05, 2.18)","3.73 (-1.44, 8.83)","-1.17 (-4.56, 2.26)","0.6 (-2.88, 4.13)","0.94 (-2.2, 4.08)","-1.16 (-4.03, 1.64)","gan105mg","0.4 (-1.58, 2.46)","-0.7 (-2.93, 1.56)","0.91 (-2.27, 4.2)","0.56 (-2.01, 3.02)","0.65 (-1.31, 2.62)","2.15 (-3.9, 7.94)","9.23 (2.15, 16.27)","2.72 (-3.58, 8.94)","2.26 (-3.28, 7.71)","2.43 (-3.57, 8.73)","-0.77 (-8.41, 6.68)","1.46 (-3.98, 6.94)","2.81 (-0.4, 5.98)","0.14 (-2.83, 3.03)","1.72 (-1.47, 4.84)","1.54 (-1.92, 5.24)","-0.23 (-2.44, 1.95)","-8.4 (-12.05, -4.78)","-6.7 (-10.63, -2.99)","-8.16 (-12.13, -4.3)"
"gan225mg","-0.61 (-2.82, 1.48)","5.78 (-0.17, 11.69)","0.66 (-1.71, 2.97)","-0.32 (-2.53, 1.77)","3.28 (-1.88, 8.51)","-1.59 (-4.97, 1.86)","0.2 (-3.28, 3.66)","0.54 (-2.66, 3.67)","-1.58 (-4.53, 1.25)","-0.4 (-2.46, 1.58)","gan225mg","-1.11 (-3.42, 1.18)","0.51 (-2.68, 3.73)","0.13 (-2.49, 2.64)","0.23 (-1.8, 2.24)","1.73 (-4.35, 7.65)","8.8 (1.62, 15.78)","2.3 (-4.03, 8.62)","1.87 (-3.7, 7.34)","2.03 (-3.99, 8.31)","-1.23 (-8.72, 6.13)","1.02 (-4.38, 6.55)","2.38 (-0.85, 5.57)","-0.28 (-3.25, 2.63)","1.29 (-1.91, 4.45)","1.15 (-2.36, 4.73)","-0.65 (-2.88, 1.57)","-8.81 (-12.44, -5.18)","-7.15 (-11.03, -3.39)","-8.58 (-12.63, -4.78)"
"lec10mg","0.5 (-0.88, 1.79)","6.85 (1.27, 12.59)","1.77 (0.16, 3.36)","0.77 (-0.56, 2.06)","4.39 (-0.47, 9.23)","-0.46 (-3.49, 2.55)","1.29 (-1.77, 4.36)","1.64 (-1, 4.29)","-0.49 (-2.78, 1.87)","0.7 (-1.56, 2.93)","1.11 (-1.18, 3.42)","lec10mg","1.59 (-1.14, 4.42)","1.23 (-0.67, 3.13)","1.34 (0.25, 2.44)","2.82 (-2.96, 8.69)","9.95 (3, 16.71)","3.4 (-2.69, 9.49)","2.97 (-2.45, 8.15)","3.14 (-2.73, 9.18)","-0.13 (-7.43, 7.05)","2.14 (-3.03, 7.35)","3.5 (0.74, 6.26)","0.83 (-1.6, 3.22)","2.41 (-0.31, 5.11)","2.23 (-0.8, 5.67)","0.47 (-1.01, 1.94)","-7.72 (-10.95, -4.46)","-6.03 (-9.54, -2.55)","-7.47 (-11.06, -4.04)"
"lec2500ug","-1.1 (-3.83, 1.49)","5.28 (-0.86, 11.44)","0.17 (-2.64, 2.91)","-0.83 (-3.53, 1.77)","2.8 (-2.69, 8.21)","-2.09 (-5.83, 1.71)","-0.3 (-4.18, 3.55)","0.03 (-3.43, 3.52)","-2.08 (-5.32, 1.14)","-0.91 (-4.2, 2.27)","-0.51 (-3.73, 2.68)","-1.59 (-4.42, 1.14)","lec2500ug","-0.37 (-3.42, 2.57)","-0.25 (-2.85, 2.25)","1.23 (-5.07, 7.32)","8.28 (0.96, 15.43)","1.8 (-4.74, 8.29)","1.36 (-4.39, 7.08)","1.56 (-4.69, 8.08)","-1.72 (-9.43, 5.84)","0.54 (-5.12, 6.29)","1.87 (-1.68, 5.43)","-0.76 (-4.1, 2.51)","0.8 (-2.79, 4.34)","0.66 (-3.17, 4.55)","-1.12 (-3.92, 1.52)","-9.31 (-13.32, -5.3)","-7.62 (-11.87, -3.56)","-9.05 (-13.64, -4.99)"
"lec5mg","-0.74 (-2.51, 0.99)","5.62 (-0.12, 11.53)","0.54 (-1.45, 2.54)","-0.45 (-2.21, 1.26)","3.16 (-1.83, 8.15)","-1.73 (-4.89, 1.53)","0.07 (-3.18, 3.38)","0.42 (-2.46, 3.32)","-1.71 (-4.29, 0.88)","-0.56 (-3.02, 2.01)","-0.13 (-2.64, 2.49)","-1.23 (-3.13, 0.67)","0.37 (-2.57, 3.42)","lec5mg","0.11 (-1.46, 1.7)","1.63 (-4.33, 7.38)","8.67 (1.66, 15.57)","2.19 (-3.98, 8.4)","1.73 (-3.84, 7.04)","1.91 (-4.07, 8.09)","-1.36 (-8.89, 6)","0.89 (-4.37, 6.31)","2.25 (-0.77, 5.24)","-0.4 (-3.08, 2.25)","1.17 (-1.77, 4.12)","1.01 (-2.28, 4.54)","-0.77 (-2.63, 1.1)","-8.95 (-12.36, -5.5)","-7.23 (-10.98, -3.65)","-8.68 (-12.54, -5.14)"
"placebo","-0.83 (-1.7, -0.14)","5.49 (-0.01, 11.16)","0.43 (-0.78, 1.63)","-0.57 (-1.36, 0.15)","3.05 (-1.69, 7.72)","-1.81 (-4.59, 1)","-0.05 (-2.89, 2.85)","0.29 (-2.16, 2.71)","-1.82 (-3.86, 0.22)","-0.65 (-2.62, 1.31)","-0.23 (-2.24, 1.8)","-1.34 (-2.44, -0.25)","0.25 (-2.25, 2.85)","-0.11 (-1.7, 1.46)","placebo","1.47 (-4.21, 7.12)","8.6 (1.7, 15.25)","2.04 (-3.91, 8.04)","1.63 (-3.68, 6.72)","1.77 (-3.92, 7.75)","-1.49 (-8.69, 5.66)","0.81 (-4.29, 5.91)","2.15 (-0.4, 4.71)","-0.52 (-2.7, 1.63)","1.07 (-1.41, 3.55)","0.87 (-1.98, 4.13)","-0.87 (-1.86, 0.09)","-9.07 (-12.1, -5.99)","-7.37 (-10.7, -4.1)","-8.81 (-12.2, -5.54)"
"pon100ug","-2.34 (-8.01, 3.38)","3.95 (-3.74, 11.96)","-1.08 (-6.75, 4.74)","-2.05 (-7.67, 3.69)","1.54 (-5.84, 9.15)","-3.32 (-9.47, 2.91)","-1.53 (-8.29, 4.72)","-1.23 (-7.53, 5.02)","-3.28 (-9.59, 2.73)","-2.15 (-7.94, 3.9)","-1.73 (-7.65, 4.35)","-2.82 (-8.69, 2.96)","-1.23 (-7.32, 5.07)","-1.63 (-7.38, 4.33)","-1.47 (-7.12, 4.21)","pon100ug","7.14 (-2.11, 16.08)","0.57 (-5.27, 6.5)","0.2 (-7.96, 7.75)","0.29 (-5.43, 6.32)","-2.91 (-12.3, 6.25)","-0.67 (-8.59, 7.1)","0.64 (-5.46, 6.99)","-2.01 (-8.07, 4.18)","-0.49 (-6.62, 5.85)","-0.59 (-6.93, 5.76)","-2.38 (-8.05, 3.4)","-10.51 (-17.14, -4.14)","-8.84 (-15.43, -2.45)","-10.31 (-17.16, -3.78)"
"pon10mg","-9.46 (-16.18, -2.54)","-3.1 (-11.63, 6.09)","-8.17 (-14.98, -1.2)","-9.14 (-15.89, -2.3)","-5.58 (-13.79, 2.91)","-10.37 (-17.71, -2.93)","-8.64 (-15.91, -1.17)","-8.34 (-15.38, -0.95)","-10.49 (-17.41, -3.24)","-9.23 (-16.27, -2.15)","-8.8 (-15.78, -1.62)","-9.95 (-16.71, -3)","-8.28 (-15.43, -0.96)","-8.67 (-15.57, -1.66)","-8.6 (-15.25, -1.7)","-7.14 (-16.08, 2.11)","pon10mg","-6.61 (-15.41, 2.8)","-7.02 (-15.79, 1.75)","-6.75 (-15.83, 2.69)","-9.99 (-20.17, 0.06)","-7.84 (-16.36, 1.21)","-6.46 (-13.53, 0.94)","-9.17 (-16.02, -1.86)","-7.51 (-14.6, -0.22)","-7.66 (-14.94, -0.14)","-9.44 (-16.24, -2.51)","-17.62 (-25.3, -10.1)","-15.97 (-23.68, -8.34)","-17.4 (-25.14, -9.77)"
"pon1mg","-2.91 (-8.96, 3.12)","3.44 (-4.89, 11.64)","-1.6 (-7.76, 4.42)","-2.63 (-8.69, 3.37)","0.98 (-6.65, 8.66)","-3.89 (-10.32, 2.64)","-2.11 (-8.91, 4.33)","-1.74 (-8.58, 4.71)","-3.9 (-10.32, 2.49)","-2.72 (-8.94, 3.58)","-2.3 (-8.62, 4.03)","-3.4 (-9.49, 2.69)","-1.8 (-8.29, 4.74)","-2.19 (-8.4, 3.98)","-2.04 (-8.04, 3.91)","-0.57 (-6.5, 5.27)","6.61 (-2.8, 15.41)","pon1mg","-0.4 (-8.78, 7.4)","-0.23 (-6.06, 5.56)","-3.54 (-13.16, 5.67)","-1.22 (-9.35, 6.7)","0.12 (-6.5, 6.68)","-2.55 (-8.88, 3.85)","-1 (-7.43, 5.53)","-1.17 (-7.87, 5.63)","-2.93 (-9.03, 3.11)","-11.1 (-17.83, -4.3)","-9.48 (-16.31, -2.73)","-10.83 (-18.23, -4.09)"
"pon3mg","-2.47 (-7.63, 2.89)","3.97 (-3.77, 11.46)","-1.17 (-6.42, 4.16)","-2.2 (-7.34, 3.15)","1.46 (-5.47, 8.26)","-3.42 (-9.17, 2.46)","-1.69 (-7.48, 4.21)","-1.31 (-7.03, 4.54)","-3.47 (-8.94, 2.33)","-2.26 (-7.71, 3.28)","-1.87 (-7.34, 3.7)","-2.97 (-8.15, 2.45)","-1.36 (-7.08, 4.39)","-1.73 (-7.04, 3.84)","-1.63 (-6.72, 3.68)","-0.2 (-7.75, 7.96)","7.02 (-1.75, 15.79)","0.4 (-7.4, 8.78)","pon3mg","0.2 (-7.54, 8.43)","-3.06 (-11.94, 5.78)","-0.77 (-6.13, 4.61)","0.49 (-5.11, 6.61)","-2.17 (-7.69, 3.74)","-0.55 (-6.23, 5.35)","-0.73 (-6.6, 5.3)","-2.49 (-7.69, 2.9)","-10.73 (-16.66, -4.49)","-8.93 (-15.07, -2.75)","-10.46 (-16.44, -4.14)"
